"","Sample","Worm_Presence","Vibration_Presence","Timepoint","Sminthuridae","Sminthurididae","Isotomidae","Entomobryidae","Onychiuridae","Meso1","Meso2","Meso3","Meso4","Meso5","Meso6","Meso7","Meso8","Oribatid1","Oribatid2","Oribatid3","Oribatid4","Oribatid5","Oribatid6","Oribatid7","Oribatid8","Oribatid9","Astig1","Astig2","Astig3","Astig4","Astig5","Prostig1","Prostig2","Prostig3","Prostig4","Prostig5","Prostig6","Prostig7","ImM1","ImM2","ImO1","ImO2","Enchytraeid","Worm","Thrips","Cricket","Snail","Aphid","Larvae","Fly","Millipede","Ant","Beetle","Centipede"
"1","S1T1","No","No","1",1,15,12,2,15,12,21,9,0,0,0,0,0,1,1,1,0,0,0,0,0,0,15,1,2,0,0,33,1,0,0,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2","S3T1","No","No","1",4,1,8,2,26,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"3","S5T1","No","No","1",2,0,0,0,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"4","SW2T1","Yes","No","1",4,64,22,0,4,17,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,16,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","SW5T1","Yes","No","1",0,2,6,0,5,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6","SW6T1","Yes","No","1",3,27,0,4,4,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,3,3,0,0,0,7,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"7","V1T1","No","Yes","1",0,2,13,0,26,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,27,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"8","V3T1","No","Yes","1",4,0,17,0,7,10,3,3,0,0,0,0,0,1,2,0,1,1,0,0,0,0,2,0,3,1,0,5,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"9","V5T1","No","Yes","1",7,45,3,0,5,6,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
"10","VW2T1","Yes","Yes","1",0,1,6,0,4,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","VW3T1","Yes","Yes","1",0,0,12,0,9,21,2,12,0,0,0,1,0,0,1,0,1,0,2,0,0,0,2,3,1,3,0,7,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","VW4T1","Yes","Yes","1",0,2,0,0,8,25,9,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","S2T2","No","No","2",9,0,3,0,189,8,2,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,9,0,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","S4T2","No","No","2",80,113,231,0,89,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,10,1,4,1,2,71,0,67,3,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0
"15","S6T2","No","No","2",15,87,10,0,18,16,10,13,2,0,0,0,0,0,1,0,1,0,1,1,0,0,14,0,2,0,0,11,1,2,0,0,0,0,12,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0
"16","SW1T2","Yes","No","2",15,30,11,0,45,29,9,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,3,0,7,0,8,1,0,0,0,27,0,2,0,13,0,2,0,0,0,0,0,16,0,0,0
"17","SW3T2","Yes","No","2",0,105,6,5,165,8,10,11,1,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,15,0,0,0,0,0,0,23,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0
"18","SW4T2","Yes","No","2",8,35,3,0,30,14,11,11,0,0,0,0,0,1,1,0,0,0,0,0,1,0,13,1,3,2,0,11,0,0,0,0,0,0,12,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0
"19","V2T2","No","Yes","2",16,61,9,0,38,12,9,7,0,0,0,0,0,1,2,0,0,0,2,0,0,0,7,0,0,0,0,7,0,1,1,0,0,0,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
"20","V4T2","No","Yes","2",12,127,0,2,28,7,9,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,1,0,1,1,12,0,0,0,1,0,0,18,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0
"21","V6T2","No","Yes","2",23,0,6,0,14,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,2,1,0,5,0,0,0,0,0,0,17,6,1,0,0,0,7,0,0,0,0,0,1,0,0,0
"22","VW1T2","Yes","Yes","2",0,45,57,4,77,29,17,12,0,0,0,0,0,0,4,1,0,0,0,0,0,0,18,0,0,4,1,2,0,0,0,0,0,0,27,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"23","VW5T2","Yes","Yes","2",10,71,23,0,13,22,22,16,0,0,0,0,0,1,3,0,0,2,0,0,0,1,12,1,0,3,0,20,0,3,0,0,7,0,19,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"24","VW6T2","Yes","Yes","2",13,43,5,0,25,20,24,6,1,1,0,0,0,0,1,0,0,0,1,0,0,0,10,0,0,2,0,10,0,1,0,0,0,1,16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
